job_id,contractor_id,project_id,hours_worked,job_date
1,2,3,15,2025-07-04
2,17,8,16,2025-07-10
3,16,9,33,2025-06-12
4,19,1,8,2025-04-23
5,5,9,25,2025-06-21
6,2,10,19,2025-07-01
7,2,7,11,2025-04-03
8,3,5,7,2025-07-22
9,18,5,19,2025-06-18
10,18,3,39,2025-06-14
11,9,10,40,2025-04-11
12,19,8,25,2025-06-11
13,2,2,30,2025-05-24
14,12,5,40,2025-07-18
15,16,10,12,2025-04-09
16,17,2,33,2025-06-23
17,15,1,31,2025-07-13
18,19,9,8,2025-07-10
19,10,12,35,2025-06-04
20,4,4,26,2025-07-11
21,11,3,33,2025-04-03
22,19,2,33,2025-07-30
23,15,5,38,2025-06-27
24,1,9,16,2025-07-15
25,10,1,20,2025-06-09
26,16,7,8,2025-07-02
27,4,9,34,2025-06-08
28,12,10,23,2025-05-23
29,7,12,9,2025-07-30
30,4,9,23,2025-05-22
31,11,9,27,2025-07-18
32,4,2,31,2025-05-17
33,2,6,7,2025-07-28
34,13,11,21,2025-05-03
35,7,5,17,2025-05-30
36,10,8,32,2025-05-11
37,2,3,34,2025-04-01
38,1,7,33,2025-06-06
39,15,10,20,2025-05-08
40,4,5,11,2025-07-29
41,6,7,25,2025-06-03
42,14,4,36,2025-06-12
43,17,5,24,2025-06-11
44,1,10,28,2025-07-19
45,20,10,33,2025-06-18
46,18,3,28,2025-07-14
47,2,3,15,2025-06-19
48,3,8,30,2025-04-08
49,8,8,15,2025-07-29
50,20,7,4,2025-06-19
